@N: MF284 |Setting synthesis effort to medium for the design
@N: FX271 :"d:\fpga\h13d\hdl\cpu_new.vhd":356:8:356:9|Replicating instance cpu0.reg_rs1[5] (in view: work.main(behavioural)) with 24 loads 1 time to improve timing.
@N: FX271 :"d:\fpga\h13d\hdl\cpu_new.vhd":356:8:356:9|Replicating instance cpu0.reg_rs1[6] (in view: work.main(behavioural)) with 24 loads 1 time to improve timing.
@N: FX271 :"d:\fpga\h13d\hdl\cpu_new.vhd":356:8:356:9|Replicating instance cpu0.reg_rs1[7] (in view: work.main(behavioural)) with 24 loads 1 time to improve timing.
@N: FX271 :"d:\fpga\h13d\hdl\cpu_new.vhd":356:8:356:9|Replicating instance cpu0.reg_rs1[8] (in view: work.main(behavioural)) with 24 loads 1 time to improve timing.
@N: FX271 :"d:\fpga\h13d\hdl\main.vhd":251:4:251:13|Replicating instance i_timebase.time_slde (in view: work.main(behavioural)) with 96 loads 3 times to improve timing.
@N: FX271 :"d:\fpga\h13d\hdl\cpu_new.vhd":387:12:387:13|Replicating instance cpu0.synchronous\.reg_rs1_4[31] (in view: work.main(behavioural)) with 56 loads 2 times to improve timing.
@N: FX271 :"d:\fpga\h13d\hdl\rom.vhd":60:16:60:21|Replicating instance myrom.G_303_ret_15 (in view: work.main(behavioural)) with 33 loads 1 time to improve timing.
@N: FX271 :"d:\fpga\h13d\hdl\cpu_new.vhd":356:8:356:9|Replicating instance cpu0.un1_state_0_a2[1] (in view: work.main(behavioural)) with 70 loads 3 times to improve timing.
@N: FX271 :"d:\fpga\h13d\hdl\cpu_new.vhd":453:12:453:15|Replicating instance cpu0.g0_36 (in view: work.main(behavioural)) with 2 loads 1 time(s) to improve timing.
@N: FX271 :"d:\fpga\h13d\hdl\cpu_new.vhd":320:22:320:69|Replicating instance cpu0.n_state_0_sqmuxa_0_fast (in view: work.main(behavioural)) with 70 loads 3 times to improve timing.
@N: FX271 :"d:\fpga\h13d\hdl\cpu_new.vhd":320:22:320:69|Replicating instance cpu0.n_state_0_sqmuxa_0_rep1 (in view: work.main(behavioural)) with 61 loads 3 times to improve timing.
@N: FX271 :"d:\fpga\h13d\hdl\cpu_new.vhd":320:22:320:69|Replicating instance cpu0.n_state_0_sqmuxa_0 (in view: work.main(behavioural)) with 55 loads 3 times to improve timing.
@N: FX271 :"d:\fpga\h13d\hdl\cpu_new.vhd":320:22:320:69|Replicating instance cpu0.n_state_0_sqmuxa_0_rep2 (in view: work.main(behavioural)) with 55 loads 3 times to improve timing.
@N: FX271 :"d:\fpga\h13d\hdl\cpu_new.vhd":356:8:356:9|Replicating instance cpu0.reg_rs1[9] (in view: work.main(behavioural)) with 24 loads 1 time to improve timing.
@N: MF322 |Retiming summary: 219 registers retimed to 819 
@N: FP130 |Promoting Net CLK100MHZ_c on CLKINT  I_2257 
@N: FP130 |Promoting Net rst_arst on CLKINT  I_2258 
@N: BW103 |The default time unit for the Synopsys Constraint File (SDC or FDC) is 1ns.
@N: BW107 |Synopsys Constraint File capacitance units using default value of 1pF 
@N: MT320 |This timing report is an estimate of place and route data. For final timing results, use the FPGA vendor place and route report.
@N: MT322 |Clock constraints include only register-to-register paths associated with each individual clock.
