@W: CD266 :"C:\Microsemi\Libero_SoC_v12.2\SynplifyPro\lib\vhd\std_textio.vhd":208:6:208:9|good is not readable.  This may cause a simulation mismatch.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_126_.decode_error is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_126_.selected is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_125_.data_we is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_125_.data_re is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_125_.data_wdata is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_125_.data_addr is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_125_.data_width is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_125_.imm is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_125_.next_pc is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_125_.result is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_125_.decrement_counter is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_125_.use_rd is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_125_.use_rs2 is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_125_.use_rs1 is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_125_.execution_done is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_125_.decode_error is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_125_.selected is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_124_.data_we is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_124_.data_re is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_124_.data_wdata is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_124_.data_addr is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_124_.data_width is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_124_.imm is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_124_.next_pc is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_124_.result is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_124_.decrement_counter is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_124_.use_rd is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_124_.use_rs2 is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_124_.use_rs1 is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_124_.execution_done is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_124_.decode_error is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_124_.selected is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_123_.data_we is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_123_.data_re is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_123_.data_wdata is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_123_.data_addr is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_123_.data_width is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_123_.imm is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_123_.next_pc is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_123_.result is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_123_.decrement_counter is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_123_.use_rd is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_123_.use_rs2 is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_123_.use_rs1 is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_123_.execution_done is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_123_.decode_error is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_123_.selected is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_122_.data_we is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_122_.data_re is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_122_.data_wdata is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_122_.data_addr is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_122_.data_width is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_122_.imm is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_122_.next_pc is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_122_.result is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_122_.decrement_counter is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_122_.use_rd is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_122_.use_rs2 is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_122_.use_rs1 is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_122_.execution_done is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_122_.decode_error is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_122_.selected is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"D:\FPGA\H13D\hdl\cpu_new.vhd":63:11:63:35|Signal instruction_details_array_121_.data_we is undriven. Either assign the signal a value or remove the signal declaration.
@W: CL168 :"D:\FPGA\H13D\hdl\cpu_new.vhd":194:4:194:6|Removing instance ila because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CD796 :"D:\FPGA\H13D\hdl\uart.vhd":26:7:26:16|Bit 1 of signal reg_status is undriven. Possible simulation mismatch as initial value or default value is ignored. To avoid simulation mismatches, explicitly drive this bit. 
@W: CD796 :"D:\FPGA\H13D\hdl\uart.vhd":26:7:26:16|Bit 2 of signal reg_status is undriven. Possible simulation mismatch as initial value or default value is ignored. To avoid simulation mismatches, explicitly drive this bit. 
@W: CD796 :"D:\FPGA\H13D\hdl\uart.vhd":26:7:26:16|Bit 3 of signal reg_status is undriven. Possible simulation mismatch as initial value or default value is ignored. To avoid simulation mismatches, explicitly drive this bit. 
@W: CD796 :"D:\FPGA\H13D\hdl\uart.vhd":26:7:26:16|Bit 4 of signal reg_status is undriven. Possible simulation mismatch as initial value or default value is ignored. To avoid simulation mismatches, explicitly drive this bit. 
@W: CD796 :"D:\FPGA\H13D\hdl\uart.vhd":26:7:26:16|Bit 5 of signal reg_status is undriven. Possible simulation mismatch as initial value or default value is ignored. To avoid simulation mismatches, explicitly drive this bit. 
@W: CD796 :"D:\FPGA\H13D\hdl\uart.vhd":26:7:26:16|Bit 6 of signal reg_status is undriven. Possible simulation mismatch as initial value or default value is ignored. To avoid simulation mismatches, explicitly drive this bit. 
@W: CD796 :"D:\FPGA\H13D\hdl\uart.vhd":26:7:26:16|Bit 7 of signal reg_status is undriven. Possible simulation mismatch as initial value or default value is ignored. To avoid simulation mismatches, explicitly drive this bit. 
@W: CL252 :"D:\FPGA\H13D\hdl\main.vhd":199:39:199:46|Bit 0 of signal int_gpio is floating -- simulation mismatch possible.
@W: CL252 :"D:\FPGA\H13D\hdl\main.vhd":199:39:199:46|Bit 1 of signal int_gpio is floating -- simulation mismatch possible.
@W: CL252 :"D:\FPGA\H13D\hdl\main.vhd":199:39:199:46|Bit 2 of signal int_gpio is floating -- simulation mismatch possible.
@W: CL252 :"D:\FPGA\H13D\hdl\main.vhd":199:39:199:46|Bit 3 of signal int_gpio is floating -- simulation mismatch possible.
@W: CL252 :"D:\FPGA\H13D\hdl\main.vhd":199:39:199:46|Bit 4 of signal int_gpio is floating -- simulation mismatch possible.
@W: CL252 :"D:\FPGA\H13D\hdl\main.vhd":199:39:199:46|Bit 5 of signal int_gpio is floating -- simulation mismatch possible.
@W: CL252 :"D:\FPGA\H13D\hdl\main.vhd":199:39:199:46|Bit 6 of signal int_gpio is floating -- simulation mismatch possible.
@W: CL252 :"D:\FPGA\H13D\hdl\main.vhd":199:39:199:46|Bit 7 of signal int_gpio is floating -- simulation mismatch possible.
@W: CL252 :"D:\FPGA\H13D\hdl\main.vhd":199:39:199:46|Bit 8 of signal int_gpio is floating -- simulation mismatch possible.
@W: CL252 :"D:\FPGA\H13D\hdl\main.vhd":199:39:199:46|Bit 9 of signal int_gpio is floating -- simulation mismatch possible.
@W: CL252 :"D:\FPGA\H13D\hdl\main.vhd":199:39:199:46|Bit 10 of signal int_gpio is floating -- simulation mismatch possible.
@W: CL252 :"D:\FPGA\H13D\hdl\main.vhd":199:39:199:46|Bit 11 of signal int_gpio is floating -- simulation mismatch possible.
@W: CL252 :"D:\FPGA\H13D\hdl\main.vhd":199:39:199:46|Bit 12 of signal int_gpio is floating -- simulation mismatch possible.
@W: CL252 :"D:\FPGA\H13D\hdl\main.vhd":199:39:199:46|Bit 13 of signal int_gpio is floating -- simulation mismatch possible.
@W: CL252 :"D:\FPGA\H13D\hdl\main.vhd":199:39:199:46|Bit 14 of signal int_gpio is floating -- simulation mismatch possible.
@W: CL252 :"D:\FPGA\H13D\hdl\main.vhd":199:39:199:46|Bit 15 of signal int_gpio is floating -- simulation mismatch possible.
@W: CL252 :"D:\FPGA\H13D\hdl\main.vhd":199:39:199:46|Bit 16 of signal int_gpio is floating -- simulation mismatch possible.
@W: CL252 :"D:\FPGA\H13D\hdl\main.vhd":199:39:199:46|Bit 17 of signal int_gpio is floating -- simulation mismatch possible.
@W: CL252 :"D:\FPGA\H13D\hdl\main.vhd":199:39:199:46|Bit 18 of signal int_gpio is floating -- simulation mismatch possible.
@W: CL252 :"D:\FPGA\H13D\hdl\main.vhd":199:39:199:46|Bit 19 of signal int_gpio is floating -- simulation mismatch possible.
@W: CL252 :"D:\FPGA\H13D\hdl\main.vhd":199:39:199:46|Bit 20 of signal int_gpio is floating -- simulation mismatch possible.
@W: CL252 :"D:\FPGA\H13D\hdl\main.vhd":199:39:199:46|Bit 21 of signal int_gpio is floating -- simulation mismatch possible.
@W: CL252 :"D:\FPGA\H13D\hdl\main.vhd":199:39:199:46|Bit 22 of signal int_gpio is floating -- simulation mismatch possible.
@W: CL252 :"D:\FPGA\H13D\hdl\main.vhd":199:39:199:46|Bit 23 of signal int_gpio is floating -- simulation mismatch possible.
@W: CL252 :"D:\FPGA\H13D\hdl\main.vhd":199:39:199:46|Bit 24 of signal int_gpio is floating -- simulation mismatch possible.
@W: CL252 :"D:\FPGA\H13D\hdl\main.vhd":199:39:199:46|Bit 25 of signal int_gpio is floating -- simulation mismatch possible.
@W: CL252 :"D:\FPGA\H13D\hdl\main.vhd":199:39:199:46|Bit 26 of signal int_gpio is floating -- simulation mismatch possible.
@W: CL252 :"D:\FPGA\H13D\hdl\main.vhd":199:39:199:46|Bit 27 of signal int_gpio is floating -- simulation mismatch possible.
@W: CL252 :"D:\FPGA\H13D\hdl\main.vhd":199:39:199:46|Bit 28 of signal int_gpio is floating -- simulation mismatch possible.
@W: CL252 :"D:\FPGA\H13D\hdl\main.vhd":199:39:199:46|Bit 29 of signal int_gpio is floating -- simulation mismatch possible.
@W: CL252 :"D:\FPGA\H13D\hdl\main.vhd":199:39:199:46|Bit 30 of signal int_gpio is floating -- simulation mismatch possible.
@W: CL252 :"D:\FPGA\H13D\hdl\main.vhd":199:39:199:46|Bit 31 of signal int_gpio is floating -- simulation mismatch possible.
@W: CL246 :"D:\FPGA\H13D\hdl\uart.vhd":13:21:13:29|Input port bits 31 to 8 of mem_wdata(31 downto 0) are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"D:\FPGA\H13D\hdl\rom.vhd":19:8:19:11|Input port bits 31 to 17 of addr(31 downto 0) are unused. Assign logic for all port bits or change the input port size.

